"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"191","pain","visual","cue","Ctx_VMV2_R",0.011,0.03,2930.65,0.37,0.711,"stim_int",FALSE,"","Right ventro-medial V2","visual_other"
"192","vision","visual","cue","Ctx_VMV2_R",0.01,0.03,2955.2,0.34,0.736,"stim_int",FALSE,"","Right ventro-medial V2","visual_other"
"193","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",-0.012,0.03,2897.78,-0.4,0.687,"stim_int",FALSE,"","Left LGN","visual_early_percept"
"194","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",0.016,0.031,2928.52,0.51,0.61,"stim_int",FALSE,"","Left LGN","visual_early_percept"
"195","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.013,0.031,2935.08,-0.44,0.659,"stim_int",FALSE,"","Right LGN","visual_early_percept"
"196","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.006,0.031,2963.8,-0.18,0.854,"stim_int",FALSE,"","Right LGN","visual_early_percept"
"197","pain","neuromarker","stim","nps",0.022,0.03,202.09,0.74,0.462,"cue_mean",FALSE,"","NPS","pain_neuromarker"
"198","vision","neuromarker","stim","nps",-0.013,0.03,2946.43,-0.45,0.652,"cue_mean",FALSE,"","NPS","pain_neuromarker"
"199","pain","neuromarker","stim","siips",0.066,0.028,2936.51,2.33,0.02,"cue_mean",TRUE,"*","SIIPS","pain_neuromarker"
"200","vision","neuromarker","stim","siips",-0.005,0.03,2935.08,-0.17,0.864,"cue_mean",FALSE,"","SIIPS","pain_neuromarker"
"201","pain","pain","stim","Thal_VPLM_R",-0.025,0.029,2946.87,-0.87,0.385,"cue_mean",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"202","vision","pain","stim","Thal_VPLM_R",-0.062,0.031,2963.45,-2,0.046,"cue_mean",TRUE,"*","Right VPL/VPM Thal","pain_early_percept"
"203","pain","pain","stim","Thal_VPLM_L",-0.043,0.029,314.36,-1.47,0.141,"cue_mean",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"204","vision","pain","stim","Thal_VPLM_L",-0.027,0.031,2964.56,-0.89,0.375,"cue_mean",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"205","pain","pain","stim","Thal_MD",-0.005,0.029,2948.92,-0.16,0.872,"cue_mean",FALSE,"","Med Thal","pain_percept"
"206","vision","pain","stim","Thal_MD",-0.016,0.031,355.32,-0.5,0.614,"cue_mean",FALSE,"","Med Thal","pain_percept"
"207","pain","pain","stim","Bstem_PAG",-0.066,0.03,341.9,-2.17,0.031,"cue_mean",TRUE,"*","PAG","pain_percept"
"208","vision","pain","stim","Bstem_PAG",0.003,0.032,306.24,0.08,0.937,"cue_mean",FALSE,"","PAG","pain_percept"
"209","pain","pain","stim","dpIns_L",-0.016,0.029,302.06,-0.55,0.585,"cue_mean",FALSE,"","Left dpIns","pain_early_percept"
"210","vision","pain","stim","dpIns_L",-0.019,0.031,2949.45,-0.63,0.528,"cue_mean",FALSE,"","Left dpIns","pain_early_percept"
"211","pain","pain","stim","dpIns_R",-0.027,0.027,2948.59,-1,0.316,"cue_mean",FALSE,"","Right dpIns","pain_early_percept"
"212","vision","pain","stim","dpIns_R",-0.009,0.031,2947.47,-0.3,0.763,"cue_mean",FALSE,"","Right dpIns","pain_early_percept"
"213","pain","pain","stim","aIns_L",-0.016,0.029,2948.7,-0.54,0.588,"cue_mean",FALSE,"","Left aIns","pain_other"
"214","vision","pain","stim","aIns_L",-0.031,0.033,249.1,-0.93,0.353,"cue_mean",FALSE,"","Left aIns","pain_other"
"215","pain","pain","stim","aIns_R",0.018,0.029,295.04,0.61,0.54,"cue_mean",FALSE,"","Right aIns","pain_other"
"216","vision","pain","stim","aIns_R",-0.055,0.031,2957.42,-1.77,0.077,"cue_mean",FALSE,"","Right aIns","pain_other"
"217","pain","pain","stim","aMCC_MPFC",-0.01,0.029,243.7,-0.35,0.728,"cue_mean",FALSE,"","aMCC","pain_percept"
"218","vision","pain","stim","aMCC_MPFC",-0.035,0.031,2949.78,-1.14,0.253,"cue_mean",FALSE,"","aMCC","pain_percept"
"219","pain","pain","stim","s1_handplus_L",-0.033,0.027,357.61,-1.21,0.225,"cue_mean",FALSE,"","Left S1 hand","pain_other"
"220","vision","pain","stim","s1_handplus_L",-0.018,0.03,2955.86,-0.61,0.543,"cue_mean",FALSE,"","Left S1 hand","pain_other"
"221","pain","pain","stim","s1_handplus_R",-0.007,0.026,2948.43,-0.27,0.788,"cue_mean",FALSE,"","Right S1 hand","pain_other"
"222","vision","pain","stim","s1_handplus_R",-0.041,0.031,2945.75,-1.33,0.182,"cue_mean",FALSE,"","Right S1 hand","pain_other"
"223","pain","higher_level","stim","Ctx_IPS1_L",-0.055,0.029,2949.03,-1.91,0.056,"cue_mean",FALSE,"","Left IPS","visual_higher_level"
"224","vision","higher_level","stim","Ctx_IPS1_L",-0.054,0.029,2958.19,-1.84,0.066,"cue_mean",FALSE,"","Left IPS","visual_higher_level"
"225","pain","higher_level","stim","Ctx_11l_L",-0.031,0.031,292.8,-1.02,0.308,"cue_mean",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"226","vision","higher_level","stim","Ctx_11l_L",-0.027,0.031,2957.28,-0.88,0.378,"cue_mean",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"227","pain","higher_level","stim","Ctx_IPS1_R",-0.061,0.03,304.97,-1.99,0.047,"cue_mean",TRUE,"*","Right IPS","visual_higher_level"
"228","vision","higher_level","stim","Ctx_IPS1_R",-0.052,0.029,2956.23,-1.79,0.074,"cue_mean",FALSE,"","Right IPS","visual_higher_level"
"229","pain","higher_level","stim","Ctx_p9_46v_R",-0.026,0.03,2948.82,-0.87,0.386,"cue_mean",FALSE,"","Right dlPFC","pain_higher_level"
"230","vision","higher_level","stim","Ctx_p9_46v_R",-0.041,0.03,2953.94,-1.33,0.182,"cue_mean",FALSE,"","Right dlPFC","pain_higher_level"
"231","pain","higher_level","stim","Ctx_11l_R",0.017,0.03,2948.9,0.58,0.565,"cue_mean",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"232","vision","higher_level","stim","Ctx_11l_R",-0.027,0.031,2948.94,-0.89,0.374,"cue_mean",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"233","pain","higher_level","stim","NAc_shell_like_R",0.043,0.031,304.74,1.39,0.166,"cue_mean",FALSE,"","Right NAc shell","pain_higher_level"
"234","vision","higher_level","stim","NAc_shell_like_R",-0.002,0.031,2958.53,-0.07,0.944,"cue_mean",FALSE,"","Right NAc shell","pain_higher_level"
"235","pain","higher_level","stim","NAc_core_like_R",0.072,0.03,315.4,2.39,0.018,"cue_mean",TRUE,"*","Right NAc core","pain_higher_level"
"236","vision","higher_level","stim","NAc_core_like_R",0.029,0.031,2960.25,0.94,0.347,"cue_mean",FALSE,"","Right NAc core","pain_higher_level"
"237","pain","higher_level","stim","NAc_shell_like_L",0.021,0.03,2948.76,0.69,0.49,"cue_mean",FALSE,"","Left NAc shell","pain_higher_level"
"238","vision","higher_level","stim","NAc_shell_like_L",-0.013,0.031,2964.41,-0.4,0.688,"cue_mean",FALSE,"","Left NAc shell","pain_higher_level"
"239","pain","higher_level","stim","NAc_core_like_L",0.054,0.03,2948.41,1.81,0.07,"cue_mean",FALSE,"","Left NAc core","pain_higher_level"
"240","vision","higher_level","stim","NAc_core_like_L",0.005,0.031,2967.71,0.15,0.88,"cue_mean",FALSE,"","Left NAc core","pain_higher_level"
"241","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.022,0.03,2948.92,-0.76,0.447,"cue_mean",FALSE,"","Left dlPFC","pain_higher_level"
"242","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.018,0.031,2951.84,-0.57,0.568,"cue_mean",FALSE,"","Left dlPFC","pain_higher_level"
"243","pain","visual","stim","Ctx_V1_L",-0.023,0.029,341.27,-0.81,0.421,"cue_mean",FALSE,"","Left V1","visual_early_percept"
"244","vision","visual","stim","Ctx_V1_L",-0.037,0.029,2950.41,-1.27,0.204,"cue_mean",FALSE,"","Left V1","visual_early_percept"
"245","pain","visual","stim","Ctx_V2_L",-0.029,0.029,2948.75,-1.01,0.312,"cue_mean",FALSE,"","Left V2","visual_early_percept"
"246","vision","visual","stim","Ctx_V2_L",-0.032,0.029,2952.43,-1.09,0.275,"cue_mean",FALSE,"","Left V2","visual_early_percept"
"247","pain","visual","stim","Ctx_V3_L",-0.018,0.029,297.77,-0.61,0.545,"cue_mean",FALSE,"","Left V3","pain_early_percept"
"248","vision","visual","stim","Ctx_V3_L",-0.046,0.028,2955.45,-1.62,0.106,"cue_mean",FALSE,"","Left V3","pain_early_percept"
"249","pain","visual","stim","Ctx_V4_L",-0.031,0.03,314.92,-1.05,0.294,"cue_mean",FALSE,"","Left V4","pain_early_percept"
"250","vision","visual","stim","Ctx_V4_L",-0.032,0.025,2959.23,-1.28,0.201,"cue_mean",FALSE,"","Left V4","pain_early_percept"
"251","pain","visual","stim","Ctx_V3A_L",-0.012,0.032,213.7,-0.37,0.711,"cue_mean",FALSE,"","Left V3A","visual_other"
"252","vision","visual","stim","Ctx_V3A_L",-0.012,0.028,2955.17,-0.45,0.653,"cue_mean",FALSE,"","Left V3A","visual_other"
"253","pain","visual","stim","Ctx_V3B_L",-0.014,0.029,2948.77,-0.49,0.625,"cue_mean",FALSE,"","Left V3B","visual_other"
"254","vision","visual","stim","Ctx_V3B_L",-0.019,0.028,2960.47,-0.68,0.494,"cue_mean",FALSE,"","Left V3B","visual_other"
"255","pain","visual","stim","Ctx_MT_L",-0.03,0.029,2948.02,-1.06,0.29,"cue_mean",FALSE,"","Left V5 (MT)","pain_early_percept"
"256","vision","visual","stim","Ctx_MT_L",-0.015,0.029,2960.67,-0.51,0.607,"cue_mean",FALSE,"","Left V5 (MT)","pain_early_percept"
"257","pain","visual","stim","Ctx_VMV1_L",-0.04,0.029,2948.69,-1.36,0.175,"cue_mean",FALSE,"","Left ventro-medial V1","visual_other"
"258","vision","visual","stim","Ctx_VMV1_L",-0.017,0.031,330.47,-0.55,0.585,"cue_mean",FALSE,"","Left ventro-medial V1","visual_other"
"259","pain","visual","stim","Ctx_VMV3_L",-0.016,0.029,2948.59,-0.55,0.585,"cue_mean",FALSE,"","Left ventro-medial V3","visual_other"
"260","vision","visual","stim","Ctx_VMV3_L",-0.027,0.028,2962.46,-0.97,0.33,"cue_mean",FALSE,"","Left ventro-medial V3","visual_other"
"261","pain","visual","stim","Ctx_V4t_L",-0.011,0.029,2947.67,-0.38,0.705,"cue_mean",FALSE,"","Left V4t","visual_other"
"262","vision","visual","stim","Ctx_V4t_L",-0.022,0.027,2961.11,-0.84,0.398,"cue_mean",FALSE,"","Left V4t","visual_other"
"263","pain","visual","stim","Ctx_V3CD_L",-0.031,0.03,296.19,-1.01,0.311,"cue_mean",FALSE,"","Left V3CD","visual_other"
"264","vision","visual","stim","Ctx_V3CD_L",-0.015,0.026,2960.3,-0.56,0.575,"cue_mean",FALSE,"","Left V3CD","visual_other"
"265","pain","visual","stim","Ctx_VMV2_L",-0.023,0.029,2948.72,-0.79,0.432,"cue_mean",FALSE,"","Left ventro-medial V2","visual_other"
"266","vision","visual","stim","Ctx_VMV2_L",-0.026,0.029,2958.67,-0.91,0.36,"cue_mean",FALSE,"","Left ventro-medial V2","visual_other"
"267","pain","visual","stim","Ctx_V1_R",-0.002,0.03,315.7,-0.07,0.943,"cue_mean",FALSE,"","Right V1","visual_early_percept"
"268","vision","visual","stim","Ctx_V1_R",-0.017,0.029,2946.41,-0.58,0.563,"cue_mean",FALSE,"","Right V1","visual_early_percept"
"269","pain","visual","stim","Ctx_V2_R",-0.02,0.03,290.79,-0.68,0.498,"cue_mean",FALSE,"","Right V2","visual_early_percept"
"270","vision","visual","stim","Ctx_V2_R",-0.023,0.028,2956.09,-0.8,0.423,"cue_mean",FALSE,"","Right V2","visual_early_percept"
"271","pain","visual","stim","Ctx_V3_R",-0.017,0.031,243.33,-0.54,0.586,"cue_mean",FALSE,"","Right V3","pain_early_percept"
"272","vision","visual","stim","Ctx_V3_R",-0.021,0.027,2960.91,-0.77,0.439,"cue_mean",FALSE,"","Right V3","pain_early_percept"
"273","pain","visual","stim","Ctx_V4_R",-0.002,0.031,250.36,-0.08,0.936,"cue_mean",FALSE,"","Right V4","pain_early_percept"
"274","vision","visual","stim","Ctx_V4_R",-0.023,0.027,2953.23,-0.84,0.402,"cue_mean",FALSE,"","Right V4","pain_early_percept"
"275","pain","visual","stim","Ctx_V3A_R",-0.002,0.031,221.36,-0.08,0.937,"cue_mean",FALSE,"","Right V3A","visual_other"
"276","vision","visual","stim","Ctx_V3A_R",-0.014,0.027,2957.73,-0.54,0.59,"cue_mean",FALSE,"","Right V3A","visual_other"
"277","pain","visual","stim","Ctx_V3B_R",-0.049,0.029,2948.54,-1.73,0.084,"cue_mean",FALSE,"","Right V3B","visual_other"
"278","vision","visual","stim","Ctx_V3B_R",-0.046,0.029,2961.43,-1.58,0.114,"cue_mean",FALSE,"","Right V3B","visual_other"
"279","pain","visual","stim","Ctx_MT_R",-0.021,0.029,2938.52,-0.71,0.479,"cue_mean",FALSE,"","Right V5 (MT)","pain_early_percept"
"280","vision","visual","stim","Ctx_MT_R",0.002,0.029,2956.52,0.06,0.954,"cue_mean",FALSE,"","Right V5 (MT)","pain_early_percept"
"281","pain","visual","stim","Ctx_VMV1_R",-0.02,0.031,257.75,-0.64,0.522,"cue_mean",FALSE,"","Right ventro-medial V1","visual_other"
"282","vision","visual","stim","Ctx_VMV1_R",0.02,0.03,2954.84,0.66,0.51,"cue_mean",FALSE,"","Right ventro-medial V1","visual_other"
"283","pain","visual","stim","Ctx_VMV3_R",-0.02,0.029,328.13,-0.69,0.491,"cue_mean",FALSE,"","Right ventro-medial V3","visual_other"
"284","vision","visual","stim","Ctx_VMV3_R",-0.014,0.029,319.82,-0.48,0.629,"cue_mean",FALSE,"","Right ventro-medial V3","visual_other"
"285","pain","visual","stim","Ctx_V4t_R",-0.016,0.031,279.04,-0.51,0.613,"cue_mean",FALSE,"","Right V4t","visual_other"
"286","vision","visual","stim","Ctx_V4t_R",0.008,0.029,2952.42,0.26,0.792,"cue_mean",FALSE,"","Right V4t","visual_other"
"287","pain","visual","stim","Ctx_V3CD_R",-0.022,0.031,248.61,-0.72,0.472,"cue_mean",FALSE,"","Right V3CD","visual_other"
"288","vision","visual","stim","Ctx_V3CD_R",-0.022,0.026,2945.96,-0.85,0.393,"cue_mean",FALSE,"","Right V3CD","visual_other"
"289","pain","visual","stim","Ctx_VMV2_R",-0.026,0.029,356.45,-0.88,0.378,"cue_mean",FALSE,"","Right ventro-medial V2","visual_other"
"290","vision","visual","stim","Ctx_VMV2_R",-0.005,0.03,266.14,-0.18,0.857,"cue_mean",FALSE,"","Right ventro-medial V2","visual_other"
"291","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.006,0.032,246.98,-0.18,0.858,"cue_mean",FALSE,"","Left LGN","visual_early_percept"
"292","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",0.01,0.031,2962.79,0.34,0.736,"cue_mean",FALSE,"","Left LGN","visual_early_percept"
"293","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.009,0.03,2949.14,0.28,0.776,"cue_mean",FALSE,"","Right LGN","visual_early_percept"
"294","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.013,0.031,308.47,0.41,0.683,"cue_mean",FALSE,"","Right LGN","visual_early_percept"
"295","pain","neuromarker","cue","nps",0.088,0.031,268.48,2.86,0.005,"cue_mean",TRUE,"**","NPS","pain_neuromarker"
"296","vision","neuromarker","cue","nps",-0.002,0.03,2953.63,-0.06,0.95,"cue_mean",FALSE,"","NPS","pain_neuromarker"
"297","pain","neuromarker","cue","siips",0.033,0.029,2917.46,1.11,0.266,"cue_mean",FALSE,"","SIIPS","pain_neuromarker"
"298","vision","neuromarker","cue","siips",0.06,0.031,2938.68,1.96,0.05,"cue_mean",FALSE,"","SIIPS","pain_neuromarker"
"299","pain","pain","cue","Thal_VPLM_R",0.024,0.03,2939.58,0.8,0.426,"cue_mean",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"300","vision","pain","cue","Thal_VPLM_R",-0.051,0.031,2957.02,-1.66,0.098,"cue_mean",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"301","pain","pain","cue","Thal_VPLM_L",0.06,0.03,317.54,1.95,0.052,"cue_mean",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"302","vision","pain","cue","Thal_VPLM_L",-0.014,0.03,2963.58,-0.47,0.639,"cue_mean",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"303","pain","pain","cue","Thal_MD",0.031,0.03,289.27,1.02,0.309,"cue_mean",FALSE,"","Med Thal","pain_percept"
"304","vision","pain","cue","Thal_MD",0.003,0.03,2957.68,0.11,0.912,"cue_mean",FALSE,"","Med Thal","pain_percept"
"305","pain","pain","cue","Bstem_PAG",0.06,0.031,2933.42,1.97,0.049,"cue_mean",TRUE,"*","PAG","pain_percept"
"306","vision","pain","cue","Bstem_PAG",-0.031,0.031,2961.31,-1.01,0.312,"cue_mean",FALSE,"","PAG","pain_percept"
"307","pain","pain","cue","dpIns_L",0.063,0.03,256.15,2.08,0.039,"cue_mean",TRUE,"*","Left dpIns","pain_early_percept"
"308","vision","pain","cue","dpIns_L",-0.012,0.03,2953.62,-0.39,0.697,"cue_mean",FALSE,"","Left dpIns","pain_early_percept"
"309","pain","pain","cue","dpIns_R",0.067,0.031,267.78,2.18,0.03,"cue_mean",TRUE,"*","Right dpIns","pain_early_percept"
"310","vision","pain","cue","dpIns_R",-0.037,0.031,2954.6,-1.2,0.231,"cue_mean",FALSE,"","Right dpIns","pain_early_percept"
"311","pain","pain","cue","aIns_L",0.085,0.033,182.93,2.59,0.01,"cue_mean",TRUE,"*","Left aIns","pain_other"
"312","vision","pain","cue","aIns_L",-0.055,0.032,268.97,-1.73,0.084,"cue_mean",FALSE,"","Left aIns","pain_other"
"313","pain","pain","cue","aIns_R",0.071,0.031,229.19,2.29,0.023,"cue_mean",TRUE,"*","Right aIns","pain_other"
"314","vision","pain","cue","aIns_R",-0.06,0.032,254.22,-1.87,0.062,"cue_mean",FALSE,"","Right aIns","pain_other"
"315","pain","pain","cue","aMCC_MPFC",0.078,0.029,304.46,2.68,0.008,"cue_mean",TRUE,"**","aMCC","pain_percept"
"316","vision","pain","cue","aMCC_MPFC",-0.044,0.03,2950.52,-1.46,0.144,"cue_mean",FALSE,"","aMCC","pain_percept"
"317","pain","pain","cue","s1_handplus_L",0.041,0.029,2932.17,1.42,0.155,"cue_mean",FALSE,"","Left S1 hand","pain_other"
"318","vision","pain","cue","s1_handplus_L",-0.017,0.03,2959.21,-0.57,0.572,"cue_mean",FALSE,"","Left S1 hand","pain_other"
"319","pain","pain","cue","s1_handplus_R",0.042,0.029,2933.14,1.43,0.152,"cue_mean",FALSE,"","Right S1 hand","pain_other"
"320","vision","pain","cue","s1_handplus_R",-0.006,0.03,2955.1,-0.21,0.833,"cue_mean",FALSE,"","Right S1 hand","pain_other"
"321","pain","higher_level","cue","Ctx_IPS1_L",0.005,0.031,222.63,0.15,0.877,"cue_mean",FALSE,"","Left IPS","visual_higher_level"
"322","vision","higher_level","cue","Ctx_IPS1_L",-0.063,0.03,2962,-2.12,0.034,"cue_mean",TRUE,"*","Left IPS","visual_higher_level"
"323","pain","higher_level","cue","Ctx_11l_L",-0.024,0.031,280.51,-0.78,0.434,"cue_mean",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"324","vision","higher_level","cue","Ctx_11l_L",-0.038,0.03,2943.63,-1.26,0.208,"cue_mean",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"325","pain","higher_level","cue","Ctx_IPS1_R",0.031,0.031,222.13,0.99,0.322,"cue_mean",FALSE,"","Right IPS","visual_higher_level"
"326","vision","higher_level","cue","Ctx_IPS1_R",-0.096,0.03,2959.9,-3.22,0.001,"cue_mean",TRUE,"**","Right IPS","visual_higher_level"
"327","pain","higher_level","cue","Ctx_p9_46v_R",0.032,0.031,269.25,1.04,0.298,"cue_mean",FALSE,"","Right dlPFC","pain_higher_level"
"328","vision","higher_level","cue","Ctx_p9_46v_R",-0.04,0.031,2960.93,-1.33,0.185,"cue_mean",FALSE,"","Right dlPFC","pain_higher_level"
"329","pain","higher_level","cue","Ctx_11l_R",0.033,0.031,325.04,1.08,0.281,"cue_mean",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"330","vision","higher_level","cue","Ctx_11l_R",-0.039,0.03,2945.35,-1.28,0.199,"cue_mean",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"331","pain","higher_level","cue","NAc_shell_like_R",0.001,0.031,2934.78,0.02,0.984,"cue_mean",FALSE,"","Right NAc shell","pain_higher_level"
"332","vision","higher_level","cue","NAc_shell_like_R",-0.01,0.031,316.27,-0.32,0.751,"cue_mean",FALSE,"","Right NAc shell","pain_higher_level"
"333","pain","higher_level","cue","NAc_core_like_R",0.03,0.03,2940.33,1,0.315,"cue_mean",FALSE,"","Right NAc core","pain_higher_level"
"334","vision","higher_level","cue","NAc_core_like_R",0.005,0.031,366.47,0.17,0.865,"cue_mean",FALSE,"","Right NAc core","pain_higher_level"
"335","pain","higher_level","cue","NAc_shell_like_L",0.032,0.031,2931,1.03,0.303,"cue_mean",FALSE,"","Left NAc shell","pain_higher_level"
"336","vision","higher_level","cue","NAc_shell_like_L",0.022,0.031,347.53,0.69,0.493,"cue_mean",FALSE,"","Left NAc shell","pain_higher_level"
"337","pain","higher_level","cue","NAc_core_like_L",0.001,0.031,2933.22,0.02,0.986,"cue_mean",FALSE,"","Left NAc core","pain_higher_level"
"338","vision","higher_level","cue","NAc_core_like_L",0.027,0.033,230.55,0.83,0.41,"cue_mean",FALSE,"","Left NAc core","pain_higher_level"
"339","pain","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",0.048,0.03,254.47,1.58,0.116,"cue_mean",FALSE,"","Left dlPFC","pain_higher_level"
"340","vision","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",-0.06,0.03,2951.22,-2,0.046,"cue_mean",TRUE,"*","Left dlPFC","pain_higher_level"
"341","pain","visual","cue","Ctx_V1_L",0.002,0.03,301.16,0.08,0.935,"cue_mean",FALSE,"","Left V1","visual_early_percept"
"342","vision","visual","cue","Ctx_V1_L",-0.057,0.03,2957.93,-1.9,0.058,"cue_mean",FALSE,"","Left V1","visual_early_percept"
"343","pain","visual","cue","Ctx_V2_L",-0.012,0.029,2942.5,-0.39,0.694,"cue_mean",FALSE,"","Left V2","visual_early_percept"
"344","vision","visual","cue","Ctx_V2_L",-0.039,0.03,2960.6,-1.3,0.195,"cue_mean",FALSE,"","Left V2","visual_early_percept"
"345","pain","visual","cue","Ctx_V3_L",-0.011,0.029,2942.26,-0.39,0.695,"cue_mean",FALSE,"","Left V3","pain_early_percept"
"346","vision","visual","cue","Ctx_V3_L",-0.043,0.03,2960.86,-1.44,0.151,"cue_mean",FALSE,"","Left V3","pain_early_percept"
"347","pain","visual","cue","Ctx_V4_L",-0.019,0.03,2937.88,-0.63,0.532,"cue_mean",FALSE,"","Left V4","pain_early_percept"
"348","vision","visual","cue","Ctx_V4_L",-0.066,0.03,2963.01,-2.19,0.028,"cue_mean",TRUE,"*","Left V4","pain_early_percept"
"349","pain","visual","cue","Ctx_V3A_L",-0.009,0.031,228.5,-0.28,0.781,"cue_mean",FALSE,"","Left V3A","visual_other"
"350","vision","visual","cue","Ctx_V3A_L",-0.052,0.03,2956.43,-1.76,0.079,"cue_mean",FALSE,"","Left V3A","visual_other"
"351","pain","visual","cue","Ctx_V3B_L",-0.024,0.029,2936.49,-0.82,0.414,"cue_mean",FALSE,"","Left V3B","visual_other"
"352","vision","visual","cue","Ctx_V3B_L",-0.082,0.029,2955.68,-2.8,0.005,"cue_mean",TRUE,"**","Left V3B","visual_other"
"353","pain","visual","cue","Ctx_MT_L",-0.021,0.03,270.28,-0.71,0.475,"cue_mean",FALSE,"","Left V5 (MT)","pain_early_percept"
"354","vision","visual","cue","Ctx_MT_L",-0.104,0.03,2956.75,-3.48,0.001,"cue_mean",TRUE,"**","Left V5 (MT)","pain_early_percept"
"355","pain","visual","cue","Ctx_VMV1_L",0.042,0.03,341.14,1.4,0.162,"cue_mean",FALSE,"","Left ventro-medial V1","visual_other"
"356","vision","visual","cue","Ctx_VMV1_L",-0.036,0.031,319.74,-1.17,0.243,"cue_mean",FALSE,"","Left ventro-medial V1","visual_other"
"357","pain","visual","cue","Ctx_VMV3_L",-0.005,0.03,2934.25,-0.15,0.879,"cue_mean",FALSE,"","Left ventro-medial V3","visual_other"
"358","vision","visual","cue","Ctx_VMV3_L",-0.071,0.03,2958.85,-2.39,0.017,"cue_mean",TRUE,"*","Left ventro-medial V3","visual_other"
"359","pain","visual","cue","Ctx_V4t_L",-0.021,0.031,250.34,-0.68,0.495,"cue_mean",FALSE,"","Left V4t","visual_other"
"360","vision","visual","cue","Ctx_V4t_L",-0.099,0.029,2959.75,-3.37,0.001,"cue_mean",TRUE,"**","Left V4t","visual_other"
"361","pain","visual","cue","Ctx_V3CD_L",-0.014,0.031,299.58,-0.47,0.636,"cue_mean",FALSE,"","Left V3CD","visual_other"
"362","vision","visual","cue","Ctx_V3CD_L",-0.029,0.029,2962.43,-0.98,0.329,"cue_mean",FALSE,"","Left V3CD","visual_other"
"363","pain","visual","cue","Ctx_VMV2_L",-0.009,0.03,2935.28,-0.29,0.772,"cue_mean",FALSE,"","Left ventro-medial V2","visual_other"
"364","vision","visual","cue","Ctx_VMV2_L",-0.088,0.03,2953.83,-2.97,0.003,"cue_mean",TRUE,"**","Left ventro-medial V2","visual_other"
"365","pain","visual","cue","Ctx_V1_R",-0.006,0.029,2933.35,-0.2,0.844,"cue_mean",FALSE,"","Right V1","visual_early_percept"
"366","vision","visual","cue","Ctx_V1_R",-0.037,0.03,2957.06,-1.24,0.215,"cue_mean",FALSE,"","Right V1","visual_early_percept"
"367","pain","visual","cue","Ctx_V2_R",-0.004,0.029,2939.59,-0.14,0.886,"cue_mean",FALSE,"","Right V2","visual_early_percept"
"368","vision","visual","cue","Ctx_V2_R",-0.044,0.03,2961.02,-1.48,0.14,"cue_mean",FALSE,"","Right V2","visual_early_percept"
"369","pain","visual","cue","Ctx_V3_R",0.006,0.029,2936.8,0.21,0.83,"cue_mean",FALSE,"","Right V3","pain_early_percept"
"370","vision","visual","cue","Ctx_V3_R",-0.043,0.03,2960.37,-1.43,0.152,"cue_mean",FALSE,"","Right V3","pain_early_percept"
"371","pain","visual","cue","Ctx_V4_R",-0.012,0.029,2925.6,-0.42,0.677,"cue_mean",FALSE,"","Right V4","pain_early_percept"
"372","vision","visual","cue","Ctx_V4_R",-0.068,0.03,2952.02,-2.24,0.025,"cue_mean",TRUE,"*","Right V4","pain_early_percept"
"373","pain","visual","cue","Ctx_V3A_R",0.032,0.03,329.83,1.07,0.286,"cue_mean",FALSE,"","Right V3A","visual_other"
"374","vision","visual","cue","Ctx_V3A_R",-0.008,0.03,2954.99,-0.28,0.778,"cue_mean",FALSE,"","Right V3A","visual_other"
"375","pain","visual","cue","Ctx_V3B_R",0.057,0.03,290.41,1.9,0.058,"cue_mean",FALSE,"","Right V3B","visual_other"
"376","vision","visual","cue","Ctx_V3B_R",-0.054,0.029,2962.22,-1.83,0.067,"cue_mean",FALSE,"","Right V3B","visual_other"
